Book,Author(s),"Original language","First published","Approximate sales in millions",Genre
Lolita,"Vladimir Nabokov",English,1955,50,NOVEL
"Love Story","Erich Segal",English,1970,21,"ROMANCE NOVEL"
"Love You Forever","Robert Munsch",English,1986,20,"CHILDREN'S LITERATURE, PICTURE BOOK, FICTION"
"Lust for Life","Irving Stone",English,1934,25,"BIOGRAPHICAL NOVEL"
Matilda,"Roald Dahl",English,1988,17,"CHILDREN'S LITERATURE"
Mockingjay,"Suzanne Collins",English,2010,20,"YOUNG ADULT NOVEL, ADVENTURE, WAR, SCIENCE FICTION, ACTION THRILLER"
"Nineteen Eighty-Four","George Orwell",English,1949,30,"DYSTOPIAN, POLITICAL FICTION, SOCIAL SCIENCE FICTION"
"One Hundred Years of Solitude (Cien años de soledad)","Gabriel García Márquez",Spanish,1967,50,"MAGIC REALISM"
"Paul et Virginie","Jacques-Henri Bernardin de Saint-Pierre",French,1788,25,NOVEL
"Pride and Prejudice","Jane Austen",English,1813,20,"CLASSIC REGENCY NOVEL, ROMANCE"
Rebecca,"Daphne du Maurier",English,1938,30,"GOTHIC NOVEL"
"She: A History of Adventure","H. Rider Haggard",English,1887,83,ADVENTURE
"Sophie's World (Sofies verden)","Jostein Gaarder",Norwegian,1991,40,"PHILOSOPHICAL NOVEL, YOUNG ADULT"
"The 7 Habits of Highly Effective People","Stephen R. Covey",English,1989,25,SELF-HELP
"The Adventures of Pinocchio (Le avventure di Pinocchio)","Carlo Collodi",Italian,1881,35,"FANTASY, CHILDREN'S FICTION"
"The Alchemist (O Alquimista)","Paulo Coelho",Portuguese,1988,65,FANTASY
"The Book Thief","Markus Zusak",English,2005,16,"YOUNG ADULT FICTION"
"The Bridges of Madison County","Robert James Waller",English,1992,60,ROMANCE
"The Catcher in the Rye","J. D. Salinger",English,1951,65,COMING-OF-AGE
"The Celestine Prophecy","James Redfield",English,1993,23,"NEW-AGE SPIRITUAL NOVEL"
"The Common Sense Book of Baby and Child Care","Benjamin Spock",English,1946,50,MANUAL
"The Da Vinci Code","Dan Brown",English,2003,80,"MYSTERY THRILLER"
"The Diary of Anne Frank (Het Achterhuis)","Anne Frank",Dutch,1947,35,"HISTORICAL NON-FICTION, AUTOBIOGRAPHY, MEMOIR, BILDUNGSROMAN / COMING OF AGE, JEWISH LITERATURE"
"The Eagle Has Landed","Jack Higgins",English,1975,50,"WAR, THRILLER"
"The Exorcist","William Peter Blatty",English,1971,11,HORROR
"The Fault in Our Stars","John Green",English,2012,23,"YOUNG ADULT ROMANTIC NOVEL"
"The Ginger Man","J. P. Donleavy",English,1955,50,NOVEL
"The Girl on the Train","Paula Hawkins",English,2015,23,THRILLER
"The Girl with the Dragon Tattoo (Män som hatar kvinnor)","Stieg Larsson",Swedish,2005,30,FICTION
"The Giver","Lois Lowry",English,1993,12,"DYSTOPIAN FICTION"
"The Godfather","Mario Puzo",English,1969,21,"CRIME NOVEL"
"The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války)","Jaroslav Hašek",Czech,1923,20,"UNFINISHED SATIRICAL DARK COMEDY NOVEL"
"The Great Gatsby","F. Scott Fitzgerald",English,1925,30,"NOVEL, TRAGEDY"
"The Happy Hooker: My Own Story","Xaviera Hollander",English,1971,20,MEMOIR
"The Hitchhiker's Guide to the Galaxy","Douglas Adams",English,1979,14,"SCIENCE FICTION"
"The Hite Report","Shere Hite",English,1976,50,SEXOLOGY
"The Hobbit","J. R. R. Tolkien",English,1937,100,FANTASY
"The Hunger Games","Suzanne Collins",English,2008,29,"YOUNG ADULT FICTION"
"The Kite Runner","Khaled Hosseini",English,2003,31.5,"BILDUNGSROMAN, HISTORICAL FICTION"
"The Lion, the Witch and the Wardrobe","C. S. Lewis",English,1950,85,"FANTASY, CHILDREN'S FICTION"
"The Little Prince (Le Petit Prince)","Antoine de Saint-Exupéry",French,1943,200,NOVELLA
"The Lost Symbol","Dan Brown",English,2009,30,FICTION
"The Naked Ape","Desmond Morris",English,1968,20,"SOCIAL SCIENCE, ANTHROPOLOGY, PSYCHOLOGY"
"The Name of the Rose (Il Nome della Rosa)","Umberto Eco",Italian,1980,50,"HISTORICAL NOVEL, MYSTERY"
"The Neverending Story (Die unendliche Geschichte)","Michael Ende",German,1979,16,"CHILDREN'S LITERATURE"
"The Pillars of the Earth","Ken Follett",English,1989,15,"HISTORICAL FICTION"
"The Power of Positive Thinking","Norman Vincent Peale",English,1952,20,SELF-HELP
"The Purpose Driven Life","Rick Warren",English,2002,33,"CHRISTIAN LITERATURE"
"The Revolt of Mamie Stover","William Bradford Huie",English,1951,30,FICTION
"The Secret","Rhonda Byrne",English,2006,20,SELF-HELP
"The Secret Diary of Adrian Mole, Aged 13¾","Sue Townsend",English,1982,20,"YOUNG ADULT NOVEL"
"The Shack","William P. Young",English,2007,22.5,NOVEL
"The Tale of Peter Rabbit","Beatrix Potter",English,1902,45,"CHILDREN'S LITERATURE"
"The Thorn Birds","Colleen McCullough",English,1977,33,"ROMANTIC FAMILY SAGA"
"The Very Hungry Caterpillar","Eric Carle",English,1969,43,"CHILDREN'S LITERATURE, PICTURE BOOK"
"The Wind in the Willows","Kenneth Grahame",English,1908,25,"CHILDREN'S LITERATURE"
"The Women's Room","Marilyn French",English,1977,20,"FEMINIST NOVEL"
"The Young Guard (Молодая гвардия)","Alexander Alexandrovich Fadeyev",Russian,1945,26,"YOUNG ADULT HISTORICAL NOVEL"
"Things Fall Apart ","Chinua Achebe",English,1958,20,NOVEL
"To Kill a Mockingbird","Harper Lee",English,1960,40,"SOUTHERN GOTHIC, BILDUNGSROMAN"
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)","Tetsuko Kuroyanagi",Japanese,1981,18,"AUTOBIOGRAPHICAL NOVEL"
"Uncle Styopa (Дядя Стёпа)","Sergey Mikhalkov",Russian,1936,21,"CHILDREN'S LITERATURE, PICTURE BOOK"
"Valley of the Dolls","Jacqueline Susann",English,1966,31,NOVEL
"Vardi Wala Gunda (वर्दी वाला गुंडा)","Ved Prakash Sharma",Hindi,1992,80,DETECTIVE
"Virgin Soil Upturned (Поднятая целина)","Mikhail Sholokhov",Russian,1935,24,NOVEL
"War and Peace (Война и мир)","Leo Tolstoy",Russian,1869,36,"HISTORICAL NOVEL"
"Watership Down","Richard Adams",English,1972,50,FANTASY
"What to Expect When You're Expecting","Arlene Eisenberg and Heidi Murkoff",English,1984,20,"PREGNANCY GUIDE"
"Where the Crawdads Sing","Delia Owens",English,2018,18,"COMING-OF-AGE MURDER MYSTERY"
"Where the Wild Things Are","Maurice Sendak",English,1963,20,"CHILDREN'S PICTURE BOOK"
"Who Moved My Cheese?","Spencer Johnson",English,1998,29,"SELF-HELP, MOTIVATIONAL, BUSINESS FABLE, PSYCHOLOGY, LEADERSHIP, PARABLE"
"Wolf Totem (狼图腾)","Jiang Rong",Chinese,2004,20,"SEMI-AUTOBIOGRAPHICAL NOVEL"
"You Can Heal Your Life","Louise Hay",English,1984,50,SELF-HELP
"Your Erroneous Zones","Wayne Dyer",English,1976,35,SELF-HELP
